Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
TehVenom/Dolly_Shygmalion-6b-Dev_V8P2,43.6,41.4,67.7,28.5,36.9,8.571428571428571,https://huggingface.co/TehVenom/Dolly_Shygmalion-6b-Dev_V8P2
databricks/dolly-v2-7b,43.6,44.5,69.6,25.2,34.9,10.0,https://huggingface.co/databricks/dolly-v2-7b
digitous/Adventien-GPTJ,43.5,42.5,69.2,25.4,36.9,0.0,https://huggingface.co/digitous/Adventien-GPTJ
digitous/Janin-R,43.4,40.4,67.4,31.2,34.5,0.0,https://huggingface.co/digitous/Janin-R
OpenAssistant/pythia-12b-pre-v8-12.5k-steps,43.4,41.5,68.8,26.6,36.8,17.142857142857142,https://huggingface.co/OpenAssistant/pythia-12b-pre-v8-12.5k-steps
h2oai/h2ogpt-gm-oasst1-en-1024-open-llama-7b-preview-400bt,43.3,41.3,62.4,27.6,42.0,10.0,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-en-1024-open-llama-7b-preview-400bt
digitous/Skegma-GPTJ,43.3,43.8,69.2,25.4,34.7,0.0,https://huggingface.co/digitous/Skegma-GPTJ
TehVenom/PPO_Shygmalion-V8p4_Dev-6b,43.2,40.7,67.0,29.3,35.6,8.571428571428571,https://huggingface.co/TehVenom/PPO_Shygmalion-V8p4_Dev-6b
digitous/Javalion-GPTJ,43.2,41.9,68.7,26.8,35.4,0.0,https://huggingface.co/digitous/Javalion-GPTJ
Pirr/pythia-13b-deduped-green_devil,43.2,42.3,68.9,26.0,35.6,18.571428571428573,https://huggingface.co/Pirr/pythia-13b-deduped-green_devil
psmathur/orca_mini_3b,43.1,41.6,61.5,26.8,42.4,4.285714285714286,https://huggingface.co/psmathur/orca_mini_3b
dvruette/oasst-pythia-6.9b-4000-steps,43.1,41.6,64.2,26.3,40.4,9.857142857142858,https://huggingface.co/dvruette/oasst-pythia-6.9b-4000-steps
TehVenom/PPO_Pygway-V8p4_Dev-6b,43.0,40.4,67.1,29.3,35.3,8.571428571428571,https://huggingface.co/TehVenom/PPO_Pygway-V8p4_Dev-6b
TehVenom/GPT-J-Pyg_PPO-6B-Dev-V8p4,43.0,40.2,66.4,30.4,34.8,8.571428571428571,https://huggingface.co/TehVenom/GPT-J-Pyg_PPO-6B-Dev-V8p4
TehVenom/Dolly_Shygmalion-6b,43.0,41.9,68.5,27.6,33.9,8.571428571428571,https://huggingface.co/TehVenom/Dolly_Shygmalion-6b
PygmalionAI/pygmalion-6b,43.0,38.9,64.8,28.0,40.4,8.571428571428571,https://huggingface.co/PygmalionAI/pygmalion-6b
Corianas/gpt-j-6B-Dolly,43.0,41.3,66.0,26.8,37.9,8.571428571428571,https://huggingface.co/Corianas/gpt-j-6B-Dolly
digitous/Janin-GPTJ,43.0,40.9,67.3,27.4,36.2,0.0,https://huggingface.co/digitous/Janin-GPTJ
EleutherAI/gpt-j-6b,42.9,41.4,67.6,26.6,36.0,8.571428571428571,https://huggingface.co/EleutherAI/gpt-j-6b
KoboldAI/GPT-J-6B-Shinen,42.9,39.8,67.1,27.7,36.9,8.571428571428571,https://huggingface.co/KoboldAI/GPT-J-6B-Shinen
TehVenom/ChanMalion,42.8,41.9,68.3,27.3,33.9,0.0,https://huggingface.co/TehVenom/ChanMalion
Salesforce/codegen-6B-nl,42.8,42.3,68.6,25.9,34.5,8.571428571428571,https://huggingface.co/Salesforce/codegen-6B-nl
togethercomputer/RedPajama-INCITE-Chat-3B-v1,42.8,42.8,67.6,26.2,34.4,4.285714285714286,https://huggingface.co/togethercomputer/RedPajama-INCITE-Chat-3B-v1
Fredithefish/RedPajama-INCITE-Chat-3B-Instruction-Tuning-with-GPT-4,42.8,41.6,66.2,27.3,36.1,4.285714285714286,https://huggingface.co/Fredithefish/RedPajama-INCITE-Chat-3B-Instruction-Tuning-with-GPT-4
TehVenom/Dolly_Malion-6b,42.8,42.8,68.4,27.1,33.0,8.571428571428571,https://huggingface.co/TehVenom/Dolly_Malion-6b
KoboldAI/GPT-J-6B-Janeway,42.8,40.9,67.1,27.4,35.7,8.571428571428571,https://huggingface.co/KoboldAI/GPT-J-6B-Janeway
togethercomputer/Pythia-Chat-Base-7B,42.7,40.0,68.7,27.4,34.6,10.0,https://huggingface.co/togethercomputer/Pythia-Chat-Base-7B
KoboldAI/fairseq-dense-6.7B,42.6,39.4,71.3,26.9,32.7,9.571428571428571,https://huggingface.co/KoboldAI/fairseq-dense-6.7B
EleutherAI/pythia-12b-deduped,42.6,41.4,70.3,25.6,33.0,17.142857142857142,https://huggingface.co/EleutherAI/pythia-12b-deduped
KoboldAI/PPO_Pygway-6b-Mix,42.6,41.8,67.8,28.4,32.5,8.571428571428571,https://huggingface.co/KoboldAI/PPO_Pygway-6b-Mix
KoboldAI/OPT-13B-Erebus,42.6,40.0,70.1,25.3,34.9,18.571428571428573,https://huggingface.co/KoboldAI/OPT-13B-Erebus
TehVenom/GPT-J-Pyg_PPO-6B,42.5,42.1,67.5,28.5,32.0,8.571428571428571,https://huggingface.co/TehVenom/GPT-J-Pyg_PPO-6B
facebook/opt-13b,42.5,39.9,71.2,24.9,34.1,18.571428571428573,https://huggingface.co/facebook/opt-13b
EleutherAI/pythia-6.9b-deduped,42.5,41.3,67.0,26.5,35.2,9.857142857142858,https://huggingface.co/EleutherAI/pythia-6.9b-deduped
Fredithefish/ScarletPajama-3B-HF,42.4,39.8,64.9,27.3,37.6,4.285714285714286,https://huggingface.co/Fredithefish/ScarletPajama-3B-HF
KoboldAI/OPT-13B-Nerys-v2,42.3,39.7,70.5,25.4,33.5,18.571428571428573,https://huggingface.co/KoboldAI/OPT-13B-Nerys-v2
KoboldAI/OPT-13B-Nerybus-Mix,42.3,39.8,70.6,24.9,34.0,18.571428571428573,https://huggingface.co/KoboldAI/OPT-13B-Nerybus-Mix
TehVenom/PPO_Shygmalion-6b,42.2,40.3,66.9,27.5,34.2,8.571428571428571,https://huggingface.co/TehVenom/PPO_Shygmalion-6b
togethercomputer/RedPajama-INCITE-Instruct-3B-v1,42.1,41.6,65.5,25.0,36.4,4.285714285714286,https://huggingface.co/togethercomputer/RedPajama-INCITE-Instruct-3B-v1
hakurei/instruct-12b,42.1,42.6,66.8,26.8,32.0,17.142857142857142,https://huggingface.co/hakurei/instruct-12b
CobraMamba/mamba-gpt-3b,42.0,40.5,64.9,25.3,37.1,4.285714285714286,https://huggingface.co/CobraMamba/mamba-gpt-3b
KoboldAI/OPT-6.7B-Erebus,41.9,39.2,68.7,24.6,35.1,9.571428571428571,https://huggingface.co/KoboldAI/OPT-6.7B-Erebus
h2oai/h2ogpt-oig-oasst1-512-6_9b,41.9,40.4,65.6,24.9,36.7,12.857142857142856,https://huggingface.co/h2oai/h2ogpt-oig-oasst1-512-6_9b
facebook/opt-6.7b,41.9,39.2,68.7,24.6,35.1,9.571428571428571,https://huggingface.co/facebook/opt-6.7b
EleutherAI/pythia-12b,41.8,39.6,68.8,26.8,31.9,17.142857142857142,https://huggingface.co/EleutherAI/pythia-12b
KoboldAI/OPT-6.7B-Nerybus-Mix,41.8,39.2,68.6,24.5,34.8,9.571428571428571,https://huggingface.co/KoboldAI/OPT-6.7B-Nerybus-Mix
h2oai/h2ogpt-oig-oasst1-256-6_9b,41.7,39.9,65.4,26.4,35.0,12.857142857142856,https://huggingface.co/h2oai/h2ogpt-oig-oasst1-256-6_9b
Fredithefish/RedPajama-INCITE-Chat-3B-ShareGPT-11K,41.7,40.6,64.8,26.1,35.4,4.285714285714286,https://huggingface.co/Fredithefish/RedPajama-INCITE-Chat-3B-ShareGPT-11K
KoboldAI/OPT-6B-nerys-v2,41.5,38.4,68.6,24.3,34.7,8.571428571428571,https://huggingface.co/KoboldAI/OPT-6B-nerys-v2
KoboldAI/OPT-30B-Erebus,41.5,36.7,65.6,24.8,38.8,42.857142857142854,https://huggingface.co/KoboldAI/OPT-30B-Erebus
Fredithefish/CrimsonPajama,41.4,40.2,65.5,26.0,33.8,0.0,https://huggingface.co/Fredithefish/CrimsonPajama
togethercomputer/RedPajama-INCITE-Base-3B-v1,41.3,40.2,64.8,27.0,33.2,4.285714285714286,https://huggingface.co/togethercomputer/RedPajama-INCITE-Base-3B-v1
openlm-research/open_llama_3b,41.1,39.8,62.6,26.9,35.0,4.285714285714286,https://huggingface.co/openlm-research/open_llama_3b
ewof/koishi-instruct-3b,40.9,41.0,64.5,26.6,31.6,4.285714285714286,https://huggingface.co/ewof/koishi-instruct-3b
cerebras/Cerebras-GPT-13B,40.8,38.1,60.0,25.9,39.2,18.571428571428573,https://huggingface.co/cerebras/Cerebras-GPT-13B
databricks/dolly-v2-3b,40.8,39.6,65.0,25.0,33.8,4.285714285714286,https://huggingface.co/databricks/dolly-v2-3b
aisquared/chopt-2_7b,40.6,36.0,63.4,25.4,37.7,10.0,https://huggingface.co/aisquared/chopt-2_7b
EleutherAI/pythia-6.7b,40.6,40.1,65.0,24.6,32.8,9.571428571428571,https://huggingface.co/EleutherAI/pythia-6.7b
KoboldAI/fairseq-dense-2.7B,40.1,33.8,65.7,26.4,34.6,3.8571428571428568,https://huggingface.co/KoboldAI/fairseq-dense-2.7B
h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,40.1,36.4,61.4,25.0,37.6,10.0,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2
openlm-research/open_llama_7b_700bt_preview,40.0,35.1,61.8,25.4,37.8,10.0,https://huggingface.co/openlm-research/open_llama_7b_700bt_preview
NbAiLab/nb-gpt-j-6B-alpaca,40.0,36.9,57.5,27.5,38.0,8.571428571428571,https://huggingface.co/NbAiLab/nb-gpt-j-6B-alpaca
KoboldAI/OPT-2.7B-Erebus,40.0,34.4,60.9,26.7,37.8,3.8571428571428568,https://huggingface.co/KoboldAI/OPT-2.7B-Erebus
Writer/camel-5b-hf,39.9,35.2,57.6,26.1,40.7,7.142857142857142,https://huggingface.co/Writer/camel-5b-hf
KoboldAI/OPT-2.7B-Nerybus-Mix,39.8,33.7,61.2,26.6,37.6,3.8571428571428568,https://huggingface.co/KoboldAI/OPT-2.7B-Nerybus-Mix
EleutherAI/pythia-2.8b-deduped,39.8,36.3,60.7,26.8,35.6,4.0,https://huggingface.co/EleutherAI/pythia-2.8b-deduped
facebook/xglm-7.5B,39.8,34.1,60.8,27.8,36.7,10.714285714285714,https://huggingface.co/facebook/xglm-7.5B
EleutherAI/pythia-2.7b,39.8,37.4,60.7,25.9,35.4,3.8571428571428568,https://huggingface.co/EleutherAI/pythia-2.7b
KoboldAI/GPT-J-6B-Adventure,39.7,37.1,61.3,25.9,34.6,8.571428571428571,https://huggingface.co/KoboldAI/GPT-J-6B-Adventure
cerebras/Cerebras-GPT-6.7B,39.6,35.1,59.4,25.9,38.0,9.571428571428571,https://huggingface.co/cerebras/Cerebras-GPT-6.7B
facebook/opt-2.7b,39.6,34.0,61.4,25.4,37.4,3.8571428571428568,https://huggingface.co/facebook/opt-2.7b
KoboldAI/OPT-2.7B-Nerys-v2,39.5,33.3,61.2,26.4,37.2,3.8571428571428568,https://huggingface.co/KoboldAI/OPT-2.7B-Nerys-v2
EleutherAI/gpt-neo-2.7B,39.0,33.4,56.2,26.5,39.8,3.8571428571428568,https://huggingface.co/EleutherAI/gpt-neo-2.7B
danielhanchen/open_llama_3b_600bt_preview,38.9,36.9,60.0,26.0,32.8,4.285714285714286,https://huggingface.co/danielhanchen/open_llama_3b_600bt_preview
pythainlp/wangchanglm-7.5B-sft-en-sharded,38.7,34.5,59.8,26.4,34.2,10.714285714285714,https://huggingface.co/pythainlp/wangchanglm-7.5B-sft-en-sharded
OpenAssistant/stablelm-7b-sft-v7-epoch-3,38.4,36.0,55.8,25.0,37.0,10.0,https://huggingface.co/OpenAssistant/stablelm-7b-sft-v7-epoch-3
aisquared/chopt-1_3b,38.4,31.5,56.6,25.4,40.2,4.285714285714286,https://huggingface.co/aisquared/chopt-1_3b
PygmalionAI/metharme-1.3b,38.3,34.4,55.9,25.1,37.7,1.8571428571428572,https://huggingface.co/PygmalionAI/metharme-1.3b
MBZUAI/LaMini-GPT-1.5B,38.0,31.4,48.4,29.9,42.5,2.142857142857143,https://huggingface.co/MBZUAI/LaMini-GPT-1.5B
EleutherAI/pythia-1.4b-deduped,38.0,32.7,55.0,25.6,38.7,2.0,https://huggingface.co/EleutherAI/pythia-1.4b-deduped
Writer/palmyra-base,38.0,31.9,55.4,27.2,37.6,0.0,https://huggingface.co/Writer/palmyra-base
MBZUAI/lamini-neo-1.3b,38.0,32.8,49.1,28.8,41.1,1.8571428571428572,https://huggingface.co/MBZUAI/lamini-neo-1.3b
pythainlp/wangchanglm-7.5B-sft-enth,38.0,33.8,59.0,24.5,34.9,10.714285714285714,https://huggingface.co/pythainlp/wangchanglm-7.5B-sft-enth
h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt,37.8,34.0,50.5,24.7,41.8,10.0,https://huggingface.co/h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt
facebook/xglm-4.5B,37.7,31.5,57.9,25.4,35.8,6.428571428571428,https://huggingface.co/facebook/xglm-4.5B
stabilityai/stablelm-tuned-alpha-7b,37.6,31.9,53.6,24.4,40.4,10.0,https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b
aisquared/dlite-v2-1_5b,37.6,32.6,54.0,24.9,38.8,7.142857142857142,https://huggingface.co/aisquared/dlite-v2-1_5b
WizardLM/WizardCoder-15B-V1.0,37.6,32.3,47.2,29.4,41.6,21.428571428571427,https://huggingface.co/WizardLM/WizardCoder-15B-V1.0
stabilityai/stablelm-base-alpha-7b,37.6,32.0,51.8,26.2,40.2,10.0,https://huggingface.co/stabilityai/stablelm-base-alpha-7b
bigcode/starcoder,37.4,30.3,48.0,30.0,41.3,0.0,https://huggingface.co/bigcode/starcoder
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,37.3,32.7,47.6,28.6,40.4,0.0,https://huggingface.co/GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct
EleutherAI/pythia-1.3b,37.1,31.1,51.4,26.6,39.2,1.8571428571428572,https://huggingface.co/EleutherAI/pythia-1.3b
hakurei/lotus-12B,37.0,30.7,52.7,24.5,40.1,17.142857142857142,https://huggingface.co/hakurei/lotus-12B
NYTK/PULI-GPTrio,37.0,30.7,53.5,24.7,39.0,0.0,https://huggingface.co/NYTK/PULI-GPTrio
PygmalionAI/pygmalion-2.7b,36.8,32.8,54.1,23.3,37.2,3.8571428571428568,https://huggingface.co/PygmalionAI/pygmalion-2.7b
LoupGarou/WizardCoder-Guanaco-15B-V1.1,36.6,32.6,45.4,25.9,42.3,21.428571428571427,https://huggingface.co/LoupGarou/WizardCoder-Guanaco-15B-V1.1
lxe/Cerebras-GPT-2.7B-Alpaca-SP,36.2,30.8,48.9,25.1,40.2,3.8571428571428568,https://huggingface.co/lxe/Cerebras-GPT-2.7B-Alpaca-SP
cerebras/Cerebras-GPT-2.7B,36.2,29.1,49.3,25.2,41.4,3.8571428571428568,https://huggingface.co/cerebras/Cerebras-GPT-2.7B
jzjiao/opt-1.3b-rlhf,36.1,28.9,52.8,25.4,37.4,1.8571428571428572,https://huggingface.co/jzjiao/opt-1.3b-rlhf
EleutherAI/gpt-neo-1.3B,36.0,31.2,48.5,24.8,39.6,1.8571428571428572,https://huggingface.co/EleutherAI/gpt-neo-1.3B
aisquared/dlite-v1-1_5b,36.0,31.7,49.7,25.6,37.1,7.142857142857142,https://huggingface.co/aisquared/dlite-v1-1_5b
Corianas/Quokka_2.7b,35.9,31.1,47.7,24.8,40.1,3.8571428571428568,https://huggingface.co/Corianas/Quokka_2.7b
aisquared/dlite-v2-774m,35.8,30.1,47.7,25.4,40.0,1.1057142857142856,https://huggingface.co/aisquared/dlite-v2-774m
EleutherAI/pythia-1b-deduped,35.5,29.1,49.7,24.3,38.9,1.4285714285714286,https://huggingface.co/EleutherAI/pythia-1b-deduped
shaohang/Sparse0.5_OPT-1.3,35.1,27.1,48.7,25.6,39.1,0.0,https://huggingface.co/shaohang/Sparse0.5_OPT-1.3
EleutherAI/polyglot-ko-12.8b,35.0,27.0,51.7,26.6,34.7,18.285714285714285,https://huggingface.co/EleutherAI/polyglot-ko-12.8b
Salesforce/codegen-6B-multi,34.9,27.2,41.1,25.7,45.7,8.571428571428571,https://huggingface.co/Salesforce/codegen-6B-multi
stabilityai/stablelm-tuned-alpha-3b,34.3,27.8,44.1,23.1,42.3,4.285714285714286,https://huggingface.co/stabilityai/stablelm-tuned-alpha-3b
KoboldAI/fairseq-dense-355M,34.2,25.4,46.7,25.3,39.2,0.5071428571428571,https://huggingface.co/KoboldAI/fairseq-dense-355M
PygmalionAI/pygmalion-1.3b,34.2,28.1,47.0,24.1,37.6,1.8571428571428572,https://huggingface.co/PygmalionAI/pygmalion-1.3b
Rachneet/gpt2-xl-alpaca,34.1,26.8,43.8,26.3,39.4,0.0,https://huggingface.co/Rachneet/gpt2-xl-alpaca
stabilityai/stablelm-base-alpha-3b,33.6,26.5,42.2,25.4,40.5,4.285714285714286,https://huggingface.co/stabilityai/stablelm-base-alpha-3b
KnutJaegersberg/gpt-2-xl-EvolInstruct,33.6,27.4,38.5,25.7,42.8,0.0,https://huggingface.co/KnutJaegersberg/gpt-2-xl-EvolInstruct
aisquared/dlite-v1-774m,33.6,28.1,44.4,25.9,36.1,1.1057142857142856,https://huggingface.co/aisquared/dlite-v1-774m
aisquared/dlite-v2-355m,33.6,28.3,40.5,26.8,38.8,0.5071428571428571,https://huggingface.co/aisquared/dlite-v2-355m
cerebras/Cerebras-GPT-1.3B,33.5,26.3,38.5,26.6,42.7,1.8571428571428572,https://huggingface.co/cerebras/Cerebras-GPT-1.3B
EleutherAI/pythia-410m-deduped,33.2,24.8,41.3,26.0,40.9,0.5857142857142856,https://huggingface.co/EleutherAI/pythia-410m-deduped
Corianas/Quokka_1.3b,33.1,27.7,37.9,26.7,40.1,1.8571428571428572,https://huggingface.co/Corianas/Quokka_1.3b
xhyi/PT_GPTNEO350_ATG,32.7,25.4,37.6,24.8,43.0,0.0,https://huggingface.co/xhyi/PT_GPTNEO350_ATG
aisquared/dlite-v1-355m,32.6,27.1,39.1,27.1,37.1,0.5071428571428571,https://huggingface.co/aisquared/dlite-v1-355m
IDEA-CCNL/Ziya-LLaMA-13B-Pretrain-v1,32.4,28.0,26.0,27.0,48.6,18.571428571428573,https://huggingface.co/IDEA-CCNL/Ziya-LLaMA-13B-Pretrain-v1
quantumaikr/open_llama_7b_hf,32.4,26.5,26.9,26.5,49.5,10.0,https://huggingface.co/quantumaikr/open_llama_7b_hf
MBZUAI/lamini-cerebras-1.3b,32.4,26.9,38.0,28.4,36.4,1.8571428571428572,https://huggingface.co/MBZUAI/lamini-cerebras-1.3b
IDEA-CCNL/Ziya-LLaMA-13B-v1,32.3,27.7,26.0,27.0,48.6,18.571428571428573,https://huggingface.co/IDEA-CCNL/Ziya-LLaMA-13B-v1
PygmalionAI/pygmalion-350m,32.2,25.0,37.8,25.7,40.4,0.5,https://huggingface.co/PygmalionAI/pygmalion-350m
BreadAi/PM_modelV2,32.2,25.1,26.4,26.1,51.4,0.0,https://huggingface.co/BreadAi/PM_modelV2
TehVenom/DiffMerge-DollyGPT-Pygmalion,32.2,23.6,34.4,24.4,46.5,0.0,https://huggingface.co/TehVenom/DiffMerge-DollyGPT-Pygmalion
MayaPH/FinOPT-Franklin,32.0,27.7,24.9,23.1,52.4,0.0,https://huggingface.co/MayaPH/FinOPT-Franklin
KoboldAI/OPT-350M-Erebus,32.0,23.8,34.3,26.2,43.6,0.5,https://huggingface.co/KoboldAI/OPT-350M-Erebus
beomi/KoAlpaca-Polyglot-5.8B,31.9,27.6,35.6,24.7,39.7,8.285714285714285,https://huggingface.co/beomi/KoAlpaca-Polyglot-5.8B
vicgalle/alpaca-7b,31.9,28.1,25.8,25.3,48.5,10.0,https://huggingface.co/vicgalle/alpaca-7b
timdettmers/guanaco-65b-merged,31.8,27.2,26.6,25.1,48.4,92.85714285714286,https://huggingface.co/timdettmers/guanaco-65b-merged
timdettmers/guanaco-65b-merged,31.8,27.2,26.5,25.2,48.4,92.85714285714286,https://huggingface.co/timdettmers/guanaco-65b-merged
KoboldAI/OPT-350M-Nerys-v2,31.8,23.6,35.5,25.9,42.1,0.5,https://huggingface.co/KoboldAI/OPT-350M-Nerys-v2
victor123/WizardLM-13B-1.0,31.6,28.5,26.0,23.1,48.6,18.571428571428573,https://huggingface.co/victor123/WizardLM-13B-1.0
lmsys/vicuna-13b-delta-v1.1,31.6,28.5,26.0,23.1,48.6,18.571428571428573,https://huggingface.co/lmsys/vicuna-13b-delta-v1.1
lmsys/vicuna-7b-delta-v1.1,31.6,28.5,26.0,23.1,48.6,10.0,https://huggingface.co/lmsys/vicuna-7b-delta-v1.1
BreadAi/MusePy-1-2,31.6,25.8,25.9,25.2,49.3,0.0,https://huggingface.co/BreadAi/MusePy-1-2
microsoft/CodeGPT-small-py,31.6,22.7,27.3,25.0,51.2,0.0,https://huggingface.co/microsoft/CodeGPT-small-py
WizardLM/WizardLM-30B-V1.0,31.6,28.5,26.0,23.1,48.6,42.857142857142854,https://huggingface.co/WizardLM/WizardLM-30B-V1.0
WizardLM/WizardLM-13B-1.0,31.6,28.5,26.0,23.1,48.6,18.571428571428573,https://huggingface.co/WizardLM/WizardLM-13B-1.0
MayaPH/FinOPT-Lincoln,31.5,26.7,25.6,23.0,50.6,0.0,https://huggingface.co/MayaPH/FinOPT-Lincoln
KoboldAI/fairseq-dense-125M,31.5,24.1,34.1,24.0,43.7,0.17857142857142858,https://huggingface.co/KoboldAI/fairseq-dense-125M
SebastianSchramm/Cerebras-GPT-111M-instruction,31.5,24.4,26.1,25.9,49.5,0.15857142857142859,https://huggingface.co/SebastianSchramm/Cerebras-GPT-111M-instruction
EleutherAI/gpt-neo-125m,31.2,23.0,30.3,26.0,45.6,0.17857142857142858,https://huggingface.co/EleutherAI/gpt-neo-125m
microsoft/DialoGPT-small,31.2,25.8,25.8,25.8,47.5,0.0,https://huggingface.co/microsoft/DialoGPT-small
KnutJaegersberg/megatron-GPT-2-345m-EvolInstruct,31.2,24.1,35.1,24.5,41.3,0.4928571428571429,https://huggingface.co/KnutJaegersberg/megatron-GPT-2-345m-EvolInstruct
EleutherAI/pythia-160m-deduped,31.2,24.1,31.4,24.9,44.3,0.2285714285714286,https://huggingface.co/EleutherAI/pythia-160m-deduped
huggingtweets/bladeecity-jerma985,31.2,22.9,30.5,26.6,45.0,0.0,https://huggingface.co/huggingtweets/bladeecity-jerma985
facebook/xglm-564M,31.2,24.6,34.6,25.2,40.4,0.8057142857142856,https://huggingface.co/facebook/xglm-564M
MBZUAI/lamini-neo-125m,31.1,24.6,30.2,26.7,42.9,0.17857142857142858,https://huggingface.co/MBZUAI/lamini-neo-125m
bigcode/tiny_starcoder_py,31.1,21.0,28.8,26.8,47.7,0.0,https://huggingface.co/bigcode/tiny_starcoder_py
cerebras/Cerebras-GPT-256M,31.0,22.0,29.0,26.8,46.0,0.3657142857142857,https://huggingface.co/cerebras/Cerebras-GPT-256M
concedo/OPT-19M-ChatSalad,31.0,24.4,25.2,23.1,51.4,0.027142857142857146,https://huggingface.co/concedo/OPT-19M-ChatSalad
anton-l/gpt-j-tiny-random,31.0,26.4,25.8,24.5,47.4,0.0,https://huggingface.co/anton-l/gpt-j-tiny-random
alibidaran/medical_transcription_generator,30.9,22.8,30.6,23.8,46.5,0.0,https://huggingface.co/alibidaran/medical_transcription_generator
ai-forever/rugpt3large_based_on_gpt2,30.9,22.6,32.8,24.9,43.4,0.0,https://huggingface.co/ai-forever/rugpt3large_based_on_gpt2
BreadAi/gpt-YA-1-1_160M,30.9,23.0,27.3,26.2,47.0,0.2285714285714286,https://huggingface.co/BreadAi/gpt-YA-1-1_160M
ogimgio/gpt-neo-125m-neurallinguisticpioneers,30.9,22.4,30.4,25.1,45.6,0.17857142857142858,https://huggingface.co/ogimgio/gpt-neo-125m-neurallinguisticpioneers
microsoft/DialoGPT-medium,30.9,24.5,26.2,25.8,47.1,0.0,https://huggingface.co/microsoft/DialoGPT-medium
microsoft/DialoGPT-large,30.8,23.4,25.8,23.8,50.3,0.0,https://huggingface.co/microsoft/DialoGPT-large
huggingtweets/jerma985,30.8,21.7,30.9,26.6,44.0,0.0,https://huggingface.co/huggingtweets/jerma985
facebook/opt-125m,30.8,22.9,31.5,26.0,42.9,0.17857142857142858,https://huggingface.co/facebook/opt-125m
concedo/Pythia-70M-ChatSalad,30.7,21.0,27.3,24.8,49.7,0.1,https://huggingface.co/concedo/Pythia-70M-ChatSalad
BreadAi/DiscordPy,30.7,23.3,26.2,25.0,48.2,0.0,https://huggingface.co/BreadAi/DiscordPy
roneneldan/TinyStories-1M,30.7,23.5,25.2,24.6,49.4,0.0014285714285714286,https://huggingface.co/roneneldan/TinyStories-1M
Locutusque/gpt2-conversational-or-qa,30.7,21.4,27.6,26.5,47.3,0.0,https://huggingface.co/Locutusque/gpt2-conversational-or-qa
Tincando/fiction_story_generator,30.6,23.3,28.7,26.7,43.8,0.0,https://huggingface.co/Tincando/fiction_story_generator
EleutherAI/pythia-160m,30.6,22.8,30.3,25.0,44.3,0.2285714285714286,https://huggingface.co/EleutherAI/pythia-160m
bigcode/gpt_bigcode-santacoder,30.6,21.2,30.8,25.0,45.6,0.0,https://huggingface.co/bigcode/gpt_bigcode-santacoder
euclaise/gpt-neox-122m-minipile-digits,30.6,20.7,27.0,25.3,49.2,0.17428571428571427,https://huggingface.co/euclaise/gpt-neox-122m-minipile-digits
MayaPH/FinOPT-Washington,30.5,25.2,26.2,24.8,45.8,0.0,https://huggingface.co/MayaPH/FinOPT-Washington
EleutherAI/pythia-70m,30.5,21.6,27.3,25.9,47.1,0.1,https://huggingface.co/EleutherAI/pythia-70m
BreadAi/StoryPy,30.5,22.4,26.2,24.4,49.1,0.0,https://huggingface.co/BreadAi/StoryPy
BreadAi/gpt-Youtube,30.4,23.3,26.3,23.5,48.6,0.0,https://huggingface.co/BreadAi/gpt-Youtube
EleutherAI/pythia-70m-deduped,30.3,21.1,27.2,25.3,47.5,0.1,https://huggingface.co/EleutherAI/pythia-70m-deduped
roneneldan/TinyStories-33M,30.3,24.2,25.7,23.8,47.6,0.04714285714285714,https://huggingface.co/roneneldan/TinyStories-33M
cyberagent/open-calm-7b,30.2,20.5,30.7,25.2,44.2,10.0,https://huggingface.co/cyberagent/open-calm-7b
roneneldan/TinyStories-3M,30.0,22.0,25.6,25.0,47.3,0.004285714285714286,https://huggingface.co/roneneldan/TinyStories-3M
SaylorTwift/gpt2_test,30.0,21.8,31.6,25.9,40.7,0.0,https://huggingface.co/SaylorTwift/gpt2_test
roneneldan/TinyStories-28M,30.0,22.8,25.8,23.5,48.1,0.04,https://huggingface.co/roneneldan/TinyStories-28M
nthngdy/pythia-owt2-70m-50k,30.0,21.5,28.2,25.7,44.5,0.1,https://huggingface.co/nthngdy/pythia-owt2-70m-50k
Corianas/256_5epoch,29.9,22.3,29.0,26.6,41.7,0.0,https://huggingface.co/Corianas/256_5epoch
roneneldan/TinyStories-8M,29.9,24.7,25.0,23.3,46.5,0.011428571428571429,https://huggingface.co/roneneldan/TinyStories-8M
nthngdy/pythia-owt2-70m-100k,29.8,20.9,28.3,25.0,45.1,0.1,https://huggingface.co/nthngdy/pythia-owt2-70m-100k
aisquared/dlite-v2-124m,29.8,24.0,31.1,25.3,39.0,0.17714285714285713,https://huggingface.co/aisquared/dlite-v2-124m
